country,country_code,year,tourism_receipts,tourism_arrivals,tourism_exports,tourism_departures,tourism_expenditures,gdp,inflation,unemployment
Cambodia,KHM,2001,429000000.0,605000.0,20.4696404530253,37000.0,2.41674191958705,4145665969.92864,-0.600648300123686,2.055
"Korea, Rep.",KOR,2001,7917000000.0,5147000.0,4.46792877048153,6084000.0,4.90955920402691,547656279894.587,4.06657587897792,3.699
Kuwait,KWT,2001,286000000.0,2072000.0,1.59767858552372,1666000.0,25.859181390335,34889559869.8326,1.29999999999999,0.8
Latin America & Caribbean (excluding high income),LAC,2001,26055343130.3416,129631536.654968,7.3719276553471,143515183.629301,5.6987611687263,1951440310331.08,6.8019093078759,8.92043503625581
Latin America & Caribbean,LCN,2001,38234590489.8398,155630805.097585,7.75860187411484,147966602.310144,5.76252630187977,2282568106526.85,4.05508061344645,9.05609572159259
Sri Lanka,LKA,2001,347000000.0,397000.0,5.62185492050017,505000.0,5.6410047724023,15749753804.8344,14.15845579912,7.9
Latvia,LVA,2001,153000000.0,2061000.0,6.00236925623886,2697000.0,7.99186695309498,8190888739.6463,2.48704003555457,13.821
Morocco,MAR,2001,2966000000.0,4596000.0,31.0651925553898,1701000.0,5.52580590607681,43831480207.6444,0.619801875297975,12.46
Mexico,MEX,2001,9190000000.0,100718000.0,5.35920234964156,123732000.0,3.60202229651979,796064590656.176,6.36773806235037,2.627
Mauritius,MUS,2001,820000000.0,675000.0,28.7697683371169,161000.0,8.13232940632507,4675755867.17657,5.38934426229505,9.14
Malaysia,MYS,2001,7627000000.0,12775000.0,7.45094208170622,36248000.0,3.93472757863623,92783947368.4211,1.41678473206098,3.53
North America,NAC,2001,135637315507.183,118580000.0,8.91500554468972,111587576.638278,5.89042291093825,11324591275355.4,2.67564562932657,4.98214166822557
Netherlands,NLD,2001,11147000000.0,9500000.0,4.49991585351546,14214000.0,5.65438577602866,432536219668.898,4.15584127195613,2.119
Norway,NOR,2001,2380000000.0,3073000.0,3.05901815218359,2348000.0,9.65940398670778,174239354070.977,3.00419703998237,3.738
New Zealand,NZL,2001,2340000000.0,1909000.0,12.2629821537429,1287000.0,7.45698215320651,53872425916.6248,2.62581630392903,5.433
OECD members,OED,2001,373634443461.894,857416270.350922,6.97234007231858,667042368.967831,6.88151955008049,27429307915077.8,3.18908268106052,6.62511329653951
Panama,PAN,2001,665000000.0,737000.0,8.32790662726043,200000.0,2.91305742701315,12252906300.0,0.307062436028722,14.71
Philippines,PHL,2001,2011000000.0,1797000.0,8.23471602309488,1787000.0,5.81670406987323,78921234457.5487,5.34550195567142,3.698
Poland,POL,2001,5121000000.0,61431000.0,9.95993465069239,53122000.0,6.16722706374803,191823200371.284,5.40833545566148,18.435
Paraguay,PRY,2001,91000000.0,3550000.0,2.62674762137274,157000.0,4.74540881696958,8495806432.18467,7.26806028584825,6.206
Post-demographic dividend,PST,2001,361174259917.418,734362506.082342,6.76751767745229,555272074.781033,6.89697714247329,26157004273269.9,2.65691093929316,6.25637260363681
Romania,ROU,2001,419000000.0,4938000.0,3.2048340217225,6408000.0,2.9386290522148,40395116581.4832,34.4770123493527,6.562
